STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,COU,Country,VAR,Variable,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DNK,Denmark,EPS,Environmental Policy Stringency,2020,,3.7222223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NOR,Norway,EPS,Environmental Policy Stringency,2020,,3.9444444,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,AUT,Austria,EPS,Environmental Policy Stringency,2020,,3.3055556,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,BEL,Belgium,EPS,Environmental Policy Stringency,2020,,3.4444444,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ESP,Spain,EPS,Environmental Policy Stringency,2020,,2.5,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVK,Slovak Republic,EPS,Environmental Policy Stringency,2020,,2.5,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,IRL,Ireland,EPS,Environmental Policy Stringency,2020,,3,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ISL,Iceland,EPS,Environmental Policy Stringency,2020,,1,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,DEU,Germany,EPS,Environmental Policy Stringency,2020,,3.4722223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,PRT,Portugal,EPS,Environmental Policy Stringency,2020,,2.7777777,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FIN,Finland,EPS,Environmental Policy Stringency,2020,,4.1111112,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CZE,Czechia,EPS,Environmental Policy Stringency,2020,,2.9444444,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,NLD,Netherlands,EPS,Environmental Policy Stringency,2020,,3.4722223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,ITA,Italy,EPS,Environmental Policy Stringency,2020,,3.7222223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SWE,Sweden,EPS,Environmental Policy Stringency,2020,,3.8333333,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GRC,Greece,EPS,Environmental Policy Stringency,2020,,2.8888888,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,CHE,Switzerland,EPS,Environmental Policy Stringency,2020,,4.5,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,POL,Poland,EPS,Environmental Policy Stringency,2020,,3.4722223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,LUX,Luxembourg,EPS,Environmental Policy Stringency,2020,,4.2222223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,FRA,France,EPS,Environmental Policy Stringency,2020,,4.8888888,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,GBR,United Kingdom,EPS,Environmental Policy Stringency,2020,,3.6111112,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,SVN,Slovenia,EPS,Environmental Policy Stringency,2020,,3.2222223,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,EST,Estonia,EPS,Environmental Policy Stringency,2020,,3.2777777,,A,,,,0,Units,,
DATAFLOW,OECD:DF_EPS(1.0),Environmental Policy Stringency Index,I,HUN,Hungary,EPS,Environmental Policy Stringency,2020,,2.8055556,,A,,,,0,Units,,
